"Region Code","Timestamp (Hour Ending)","Total CAL Demand (MWh)"
CAL,"11/30/2019 12 a.m. PST",27559
CAL,"11/30/2019 1 a.m. PST",26316
CAL,"11/30/2019 2 a.m. PST",25559
CAL,"11/30/2019 3 a.m. PST",24909
CAL,"11/30/2019 4 a.m. PST",24656
CAL,"11/30/2019 5 a.m. PST",24869
CAL,"11/30/2019 6 a.m. PST",25547
CAL,"11/30/2019 7 a.m. PST",26436
CAL,"11/30/2019 8 a.m. PST",26585
CAL,"11/30/2019 9 a.m. PST",27000
CAL,"11/30/2019 10 a.m. PST",27761
CAL,"11/30/2019 11 a.m. PST",28220
CAL,"11/30/2019 12 p.m. PST",27815
CAL,"11/30/2019 1 p.m. PST",28322
CAL,"11/30/2019 2 p.m. PST",28709
CAL,"11/30/2019 3 p.m. PST",29050
CAL,"11/30/2019 4 p.m. PST",29923
CAL,"11/30/2019 5 p.m. PST",31404
CAL,"11/30/2019 6 p.m. PST",32989
CAL,"11/30/2019 7 p.m. PST",32892
CAL,"11/30/2019 8 p.m. PST",32377
CAL,"11/30/2019 9 p.m. PST",31682
CAL,"11/30/2019 10 p.m. PST",30679
CAL,"11/30/2019 11 p.m. PST",29034
CAL,"12/1/2019 12 a.m. PST",27246
CAL,"12/1/2019 1 a.m. PST",25986
CAL,"12/1/2019 2 a.m. PST",25101
CAL,"12/1/2019 3 a.m. PST",24512
CAL,"12/1/2019 4 a.m. PST",24134
CAL,"12/1/2019 5 a.m. PST",24020
CAL,"12/1/2019 6 a.m. PST",24425
CAL,"12/1/2019 7 a.m. PST",25256
CAL,"12/1/2019 8 a.m. PST",25644
CAL,"12/1/2019 9 a.m. PST",26309
CAL,"12/1/2019 10 a.m. PST",26620
CAL,"12/1/2019 11 a.m. PST",26861
CAL,"12/1/2019 12 p.m. PST",26837
CAL,"12/1/2019 1 p.m. PST",26922
CAL,"12/1/2019 2 p.m. PST",27035
CAL,"12/1/2019 3 p.m. PST",27379
CAL,"12/1/2019 4 p.m. PST",28555
CAL,"12/1/2019 5 p.m. PST",30454
CAL,"12/1/2019 6 p.m. PST",32742
CAL,"12/1/2019 7 p.m. PST",33017
CAL,"12/1/2019 8 p.m. PST",32503
CAL,"12/1/2019 9 p.m. PST",31785
CAL,"12/1/2019 10 p.m. PST",30354
CAL,"12/1/2019 11 p.m. PST",28264
CAL,"12/2/2019 12 a.m. PST",26225
CAL,"12/2/2019 1 a.m. PST",25501
CAL,"12/2/2019 2 a.m. PST",24760
CAL,"12/2/2019 3 a.m. PST",24290
CAL,"12/2/2019 4 a.m. PST",24249
CAL,"12/2/2019 5 a.m. PST",25144
CAL,"12/2/2019 6 a.m. PST",27036
CAL,"12/2/2019 7 a.m. PST",29875
CAL,"12/2/2019 8 a.m. PST",31353
CAL,"12/2/2019 9 a.m. PST",30987
CAL,"12/2/2019 10 a.m. PST",30513
CAL,"12/2/2019 11 a.m. PST",29988
CAL,"12/2/2019 12 p.m. PST",29767
CAL,"12/2/2019 1 p.m. PST",30006
CAL,"12/2/2019 2 p.m. PST",30404
CAL,"12/2/2019 3 p.m. PST",30530
CAL,"12/2/2019 4 p.m. PST",31568
CAL,"12/2/2019 5 p.m. PST",33130
CAL,"12/2/2019 6 p.m. PST",35297
CAL,"12/2/2019 7 p.m. PST",35345
CAL,"12/2/2019 8 p.m. PST",34648
CAL,"12/2/2019 9 p.m. PST",33753
CAL,"12/2/2019 10 p.m. PST",32335
CAL,"12/2/2019 11 p.m. PST",29944
CAL,"12/3/2019 12 a.m. PST",27664
CAL,"12/3/2019 1 a.m. PST",26444
CAL,"12/3/2019 2 a.m. PST",25496
CAL,"12/3/2019 3 a.m. PST",24815
CAL,"12/3/2019 4 a.m. PST",24503
CAL,"12/3/2019 5 a.m. PST",25091
CAL,"12/3/2019 6 a.m. PST",26970
CAL,"12/3/2019 7 a.m. PST",30045
CAL,"12/3/2019 8 a.m. PST",31632
CAL,"12/3/2019 9 a.m. PST",31566
CAL,"12/3/2019 10 a.m. PST",31344
CAL,"12/3/2019 11 a.m. PST",31097
CAL,"12/3/2019 12 p.m. PST",30967
CAL,"12/3/2019 1 p.m. PST",30975
CAL,"12/3/2019 2 p.m. PST",31329
CAL,"12/3/2019 3 p.m. PST",31675
CAL,"12/3/2019 4 p.m. PST",32244
CAL,"12/3/2019 5 p.m. PST",33511
CAL,"12/3/2019 6 p.m. PST",35426
CAL,"12/3/2019 7 p.m. PST",35428
CAL,"12/3/2019 8 p.m. PST",34910
CAL,"12/3/2019 9 p.m. PST",33916
CAL,"12/3/2019 10 p.m. PST",32284
CAL,"12/3/2019 11 p.m. PST",29837
CAL,"12/4/2019 12 a.m. PST",27506
CAL,"12/4/2019 1 a.m. PST",26154
CAL,"12/4/2019 2 a.m. PST",25174
CAL,"12/4/2019 3 a.m. PST",24501
CAL,"12/4/2019 4 a.m. PST",24394
CAL,"12/4/2019 5 a.m. PST",25019
CAL,"12/4/2019 6 a.m. PST",26838
CAL,"12/4/2019 7 a.m. PST",29825
CAL,"12/4/2019 8 a.m. PST",31797
CAL,"12/4/2019 9 a.m. PST",32737
CAL,"12/4/2019 10 a.m. PST",33367
CAL,"12/4/2019 11 a.m. PST",33779
CAL,"12/4/2019 12 p.m. PST",33333
CAL,"12/4/2019 1 p.m. PST",32651
CAL,"12/4/2019 2 p.m. PST",32345
CAL,"12/4/2019 3 p.m. PST",32280
CAL,"12/4/2019 4 p.m. PST",32504
CAL,"12/4/2019 5 p.m. PST",33727
CAL,"12/4/2019 6 p.m. PST",35731
CAL,"12/4/2019 7 p.m. PST",35708
CAL,"12/4/2019 8 p.m. PST",35008
CAL,"12/4/2019 9 p.m. PST",34041
